runid,info
1359,UMMS-2014-11-20-Rep2
1360,UMMS-2014-11-20-Rep2
1361,UMMS-2014-11-20-Rep2
1362,UMMS-2014-11-20-Rep2
1363,UMMS-2014-11-20-Rep2
1364,UMMS-2014-11-20-Rep2
1365,UMMS-2014-11-20-Rep2
1366,UMMS-2014-11-20-Rep2
1367,UMMS-2014-11-20-Rep2
1368,UMMS-2014-11-20-Rep2
1369,UMMS-2014-11-20-Rep2
1370,UMMS-2014-11-20-Rep2
1371,UMMS-2014-11-20-Rep2
1372,UMMS-2014-11-20-Rep2
1373,UMMS-2014-11-20-Rep2
1374,UMMS-2014-11-20-Rep2
1418,ND-Rep2
1419,ND-Rep2
1420,ND-Rep2
1421,ND-Rep2
1422,ND-Rep2
1423,ND-Rep2
1424,ND-Rep2
1425,ND-Rep2
1376,ION-2014-12-17-Rep1
1378,ION-2014-12-17-Rep1
1380,ION-2014-12-17-Rep1
1381,ION-2014-12-17-Rep1
1383,ION-2014-12-17-Rep1
1384,ION-2014-12-17-Rep1
1385,ION-2014-12-17-Rep1
1386,ION-2014-12-17-Rep1
1387,ION-2014-12-17-Rep1
1388,ION-2014-12-17-Rep1
1389,ION-2014-12-17-Rep1
1390,ION-2014-12-17-Rep1
1391,ION-2014-12-17-Rep1
1392,ION-2014-12-17-Rep1
1393,ION-2014-12-17-Rep1
1394,ION-2014-12-17-Rep1
1306,UMMS-2014-09-04-Rep0
1307,UMMS-2014-09-04-Rep0
1308,UMMS-2014-09-04-Rep0
1309,UMMS-2014-09-04-Rep0
1310,UMMS-2014-09-04-Rep0
1311,UMMS-2014-09-04-Rep0
1312,UMMS-2014-09-04-Rep0
1313,UMMS-2014-09-04-Rep0
1316,UMMS-2014-09-04-Rep0
1317,UMMS-2014-09-04-Rep0
1318,UMMS-2014-09-04-Rep0
1319,UMMS-2014-09-04-Rep0
1320,UMMS-2014-09-04-Rep0
1321,UMMS-2014-09-04-Rep0
1324,UMMS-2014-09-04-Rep0
1325,UMMS-2014-09-04-Rep0
1322,UMMS-2014-09-04-Rep0
1323,UMMS-2014-09-04-Rep0
1314,ND-Rep0
1315,ND-Rep0
810/844,Jan2013-Rep-1
797/850,Jan2013-Rep-1
793/845,Jan2013-Rep-1
798/851,Jan2013-Rep-1
794/846,Jan2013-Rep-1
799/852,Jan2013-Rep-1
796/849,Jan2013-Rep-1
801/854,Jan2013-Rep-1
795/813/847/848,Jan2013-Rep-1
800/853,Jan2013-Rep-1
942,CellSup-Sep2013
981,CellSup-Sep2013
